id,label
0,1
1,1
2,1
3,0
4,0
5,1
6,1
7,1
8,1
9,1
10,0
11,0
12,0
13,1
14,1
15,1
16,0
17,1
18,0
19,1
20,0
21,1
22,0
23,0
24,0
25,0
26,1
27,0
28,1
29,1
30,0
31,1
32,0
33,1
34,0
35,1
36,0
37,0
38,0
39,0
40,1
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,0
53,0
54,1
55,0
56,0
57,0
58,0
59,1
60,1
61,0
62,0
63,0
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,0
80,1
81,1
82,0
83,0
84,1
85,0
86,0
87,0
88,1
89,0
90,0
91,0
92,0
93,1
94,1
95,1
96,0
97,0
98,1
99,0
100,0
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,1
116,1
117,0
118,1
119,1
120,0
121,1
122,1
123,0
124,0
125,1
126,1
127,0
128,0
129,1
130,0
131,0
132,0
133,0
134,0
135,1
136,1
137,0
138,0
139,1
140,0
141,0
142,0
143,0
144,1
145,1
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,1
154,1
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,1
166,0
167,0
168,1
169,0
170,1
171,1
172,0
173,0
174,0
175,0
176,0
177,1
178,0
179,1
180,1
181,1
182,1
183,1
184,1
185,0
186,0
187,1
188,0
189,0
190,1
191,0
192,1
193,0
194,0
195,1
196,1
197,0
198,0
199,0
200,1
201,0
202,1
203,0
204,1
205,0
206,0
207,1
208,0
209,0
210,1
211,0
212,1
213,1
214,1
215,1
216,0
217,1
218,1
219,1
220,1
221,1
222,0
223,0
224,0
225,0
226,1
227,1
228,0
229,1
230,0
231,1
232,0
233,0
234,0
235,0
236,1
237,1
238,0
239,1
240,1
241,0
242,1
243,1
244,1
245,0
246,1
247,0
248,0
249,0
250,1
251,1
252,0
253,1
254,1
255,0
256,1
257,0
258,1
259,1
260,1
261,0
262,0
263,1
264,0
265,0
266,1
267,1
268,0
269,0
270,1
271,0
272,0
273,1
274,0
275,1
276,0
277,0
278,0
279,1
280,1
281,0
282,0
283,1
284,1
285,1
286,1
287,1
288,0
289,1
290,0
291,0
292,1
293,1
294,0
295,0
296,1
297,0
298,1
299,0
300,0
301,0
302,1
303,1
304,1
305,1
306,0
307,0
308,1
309,0
310,0
311,0
312,1
313,0
314,0
315,0
316,0
317,1
318,1
319,1
320,1
321,0
322,0
323,1
324,0
325,1
326,1
327,1
328,1
329,1
330,0
331,1
332,0
333,1
334,1
335,0
336,0
337,1
338,0
339,0
340,1
341,0
342,0
343,1
344,1
345,1
346,1
347,0
348,0
349,0
350,1
351,0
352,1
353,0
354,1
355,0
356,1
357,0
358,1
359,0
360,1
361,0
362,0
363,1
364,0
365,1
366,0
367,1
368,1
369,1
370,1
371,1
372,1
373,0
374,1
375,0
376,1
377,1
378,1
379,0
380,1
381,0
382,1
383,1
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,1
394,1
395,0
396,1
397,1
398,1
399,1
400,1
401,0
402,0
403,1
404,1
405,1
406,0
407,0
408,1
409,0
410,1
411,0
412,0
413,0
414,1
415,1
416,0
417,0
418,0
419,0
420,1
421,1
422,0
423,1
424,0
425,1
426,1
427,1
428,1
429,1
430,0
431,0
432,1
433,1
434,1
435,1
436,1
437,0
438,0
439,0
440,1
441,0
442,1
443,1
444,0
445,0
446,1
447,1
448,1
449,1
450,0
451,0
452,0
453,1
454,0
455,0
456,1
457,1
458,1
459,0
460,1
461,1
462,1
463,0
464,1
465,0
466,1
467,1
468,0
469,1
470,1
471,1
472,0
473,1
474,0
475,0
476,1
477,1
478,1
479,1
480,0
481,1
482,0
483,1
484,0
485,0
486,0
487,1
488,0
489,1
490,1
491,1
492,0
493,1
494,1
495,1
496,0
497,0
498,0
499,0
500,1
501,0
502,1
503,0
504,1
505,0
506,0
507,0
508,0
509,1
510,0
511,1
512,0
513,0
514,0
515,0
516,0
517,1
518,1
519,0
520,1
521,0
522,0
523,0
524,1
525,1
526,1
527,0
528,0
529,1
530,1
531,1
532,0
533,1
534,0
535,0
536,1
537,1
538,1
539,0
540,1
541,1
542,0
543,0
544,1
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,1
553,0
554,1
555,1
556,1
557,1
558,0
559,0
560,0
561,0
562,1
563,0
564,1
565,0
566,0
567,1
568,0
569,0
570,0
571,1
572,0
573,1
574,0
575,0
576,1
577,1
578,1
579,1
580,0
581,0
582,0
583,0
584,1
585,1
586,1
587,1
588,0
589,0
590,0
591,0
592,1
593,0
594,1
595,1
596,0
597,0
598,1
599,0
600,0
601,1
602,1
603,1
604,0
605,1
606,0
607,1
608,1
609,1
610,1
611,1
612,0
613,0
614,1
615,0
616,0
617,1
618,1
619,0
620,1
621,1
622,1
623,0
624,0
625,0
626,1
627,1
628,1
629,1
630,0
631,0
632,1
633,1
634,1
635,1
636,0
637,1
638,1
639,1
640,0
641,1
642,1
643,1
644,1
645,1
646,0
647,1
648,0
649,1
650,0
651,0
652,1
653,0
654,1
655,1
656,1
657,0
658,1
659,1
660,0
661,0
662,0
663,1
664,1
665,1
666,1
667,1
668,0
669,0
670,0
671,0
672,1
673,1
674,0
675,0
676,0
677,1
678,0
679,0
680,1
681,1
682,1
683,1
684,1
685,0
686,0
687,1
688,1
689,1
690,0
691,0
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,0
700,0
701,0
702,1
703,1
704,1
705,0
706,1
707,0
708,0
709,1
710,0
711,1
712,1
713,1
714,0
715,1
716,1
717,0
718,1
719,1
720,0
721,1
722,1
723,1
724,1
725,0
726,1
727,1
728,0
729,1
730,1
731,1
732,0
733,0
734,1
735,0
736,1
737,1
738,1
739,0
740,1
741,1
742,1
743,0
744,0
745,1
746,0
747,0
748,1
749,1
750,0
751,0
752,1
753,1
754,1
755,1
756,1
757,1
758,0
759,1
760,1
761,0
762,1
763,1
764,1
765,1
766,0
767,1
768,1
769,1
770,0
771,1
772,1
773,0
774,0
775,1
776,1
777,0
778,0
779,0
780,1
781,1
782,0
783,0
784,1
785,1
786,0
787,0
788,1
789,1
790,0
791,1
792,0
793,1
794,0
795,1
796,0
797,0
798,0
799,0
800,1
801,0
802,1
803,1
804,1
805,0
806,0
807,1
808,0
809,0
810,0
811,1
812,0
